iter	Passed	Remaining
934	22026	13310
935	22049	13286
936	22073	13262
937	22096	13238
938	22119	13214
939	22139	13189
940	22160	13164
941	22182	13139
942	22203	13115
943	22225	13090
944	22247	13065
945	22268	13041
946	22290	13016
947	22312	12992
948	22334	12967
949	22357	12943
950	22378	12918
951	22398	12893
952	22421	12869
953	22442	12844
954	22463	12819
955	22486	12795
956	22509	12771
957	22530	12746
958	22553	12723
959	22576	12699
960	22599	12675
961	22621	12651
962	22642	12626
963	22662	12600
964	22684	12576
965	22705	12551
966	22728	12527
967	22750	12503
968	22770	12477
969	22793	12454
970	22816	12430
971	22837	12405
972	22860	12381
973	22882	12357
974	22904	12333
975	22930	12311
976	22957	12289
977	22980	12265
978	23009	12244
979	23039	12225
980	23070	12205
981	23100	12185
982	23136	12168
983	23162	12146
984	23187	12123
985	23213	12100
986	23239	12078
987	23266	12056
988	23291	12034
989	23316	12011
990	23343	11989
991	23369	11967
992	23394	11944
993	23421	11922
994	23442	11897
995	23467	11875
996	23491	11851
997	23519	11830
998	23546	11808
999	23577	11788
1000	23605	11767
1001	23633	11745
1002	23660	11724
1003	23684	11700
1004	23712	11679
1005	23740	11658
1006	23769	11636
1007	23795	11614
1008	23825	11593
1009	23854	11573
1010	23884	11552
1011	23914	11531
1012	23943	11510
1013	23973	11490
1014	23999	11467
1015	24024	11444
1016	24051	11422
1017	24079	11401
1018	24106	11379
1019	24136	11358
1020	24161	11335
1021	24188	11313
1022	24216	11291
1023	24248	11271
1024	24279	11251
1025	24312	11232
1026	24342	11211
1027	24372	11190
1028	24399	11168
1029	24428	11146
1030	24457	11125
1031	24487	11104
1032	24514	11082
1033	24537	11058
1034	24561	11034
1035	24584	11010
1036	24606	10986
1037	24627	10961
1038	24647	10935
1039	24669	10911
1040	24690	10886
1041	24710	10861
1042	24731	10836
1043	24755	10812
1044	24777	10788
1045	24800	10764
1046	24820	10739
1047	24842	10714
1048	24862	10689
1049	24884	10664
1050	24905	10639
1051	24925	10614
1052	24943	10588
1053	24967	10564
1054	24988	10540
1055	25013	10517
1056	25040	10494
1057	25065	10471
1058	25089	10448
1059	25114	10424
1060	25138	10401
1061	25167	10379
1062	25194	10357
1063	25231	10339
1064	25256	10316
1065	25284	10293
1066	25313	10272
1067	25343	10251
1068	25370	10228
1069	25396	10205
1070	25429	10186
1071	25455	10163
1072	25483	10141
1073	25508	10118
1074	25537	10096
1075	25568	10075
1076	25595	10052
1077	25628	10032
1078	25655	10010
1079	25686	9989
1080	25716	9967
1081	25747	9946
1082	25775	9924
1083	25805	9903
1084	25837	9882
1085	25865	9860
1086	25897	9839
1087	25936	9821
1088	25964	9799
1089	25992	9776
1090	26021	9755
1091	26049	9732
1092	26079	9711
1093	26111	9690
1094	26139	9668
1095	26157	9642
1096	26179	9617
1097	26208	9595
1098	26236	9573
1099	26260	9549
1100	26284	9525
1101	26306	9500
1102	26328	9476
1103	26350	9451
1104	26372	9427
1105	26395	9403
1106	26417	9378
1107	26437	9353
1108	26459	9328
1109	26480	9304
1110	26503	9279
1111	26524	9254
1112	26547	9230
1113	26569	9206
1114	26594	9182
1115	26619	9159
1116	26648	9137
1117	26676	9114
1118	26703	9091
1119	26724	9067
1120	26744	9042
1121	26767	9017
1122	26787	8992
1123	26811	8968
1124	26832	8944
1125	26853	8919
1126	26876	8895
1127	26898	8870
1128	26919	8845
1129	26941	8821
1130	26965	8797
1131	26987	8773
1132	27010	8749
1133	27035	8725
1134	27063	8703
1135	27088	8679
1136	27111	8655
1137	27132	8631
1138	27162	8609
1139	27192	8587
1140	27217	8563
1141	27241	8539
1142	27264	8515
